energy-1-0,homogeneity-1-0,ASM-1-0,energy-1-45,homogeneity-1-45,ASM-1-45,energy-1-90,homogeneity-1-90,ASM-1-90,energy-1-135,homogeneity-1-135,ASM-1-135,Class
0.10020813,0.68924005,0.01004167,0.09077296,0.62092096,0.00823973,0.10196132,0.68918192,0.01039611,0.09033993,0.62343519,0.0081613,1
0.09235192,0.66108994,0.00852888,0.08437907,0.59902532,0.00711983,0.09657783,0.67559022,0.00932728,0.08414947,0.59559568,0.00708113,1
0.09758393,0.6881996,0.00952262,0.08837264,0.6184936,0.00780972,0.09966249,0.68981382,0.00993261,0.08820496,0.62346211,0.00778012,1
0.09626272,0.67303454,0.00926651,0.08730677,0.60670645,0.00762247,0.09850141,0.67057712,0.00970253,0.08694134,0.60362341,0.0075588,1
0.09824754,0.68260977,0.00965258,0.08920471,0.61628172,0.00795748,0.10041882,0.68529288,0.01008394,0.088901,0.61875731,0.00790339,1
0.08620663,0.64846057,0.00743158,0.0790485,0.58514928,0.00624867,0.09085319,0.6620416,0.0082543,0.07873013,0.58100971,0.00619843,1
0.09078502,0.66463064,0.00824192,0.08311449,0.59886029,0.00690802,0.09508917,0.67545563,0.00904195,0.08280261,0.60173575,0.00685627,1
0.08837831,0.65218513,0.00781073,0.08085192,0.59173119,0.00653703,0.09269489,0.66677276,0.00859234,0.08055376,0.58803363,0.00648891,1
0.09351589,0.68802613,0.00874522,0.08491091,0.61792739,0.00720986,0.09605543,0.68941956,0.00922665,0.08464682,0.62148031,0.00716508,1
0.08619354,0.64112449,0.00742933,0.0794585,0.58865031,0.00631365,0.09135442,0.66718814,0.00834563,0.0789662,0.58326937,0.00623566,1
0.10268782,0.6545229,0.01054479,0.09352471,0.59610757,0.00874687,0.10625929,0.66544838,0.01129104,0.09346787,0.59734211,0.00873624,1
0.10368428,0.67050839,0.01075043,0.094237,0.60379298,0.00888061,0.1060936,0.66836899,0.01125585,0.09384561,0.60747244,0.008807,1
0.10272481,0.67088457,0.01055239,0.09296323,0.60459781,0.00864216,0.10457504,0.66514843,0.01093594,0.09274673,0.60258084,0.00860196,1
0.09489312,0.63430531,0.0090047,0.08652995,0.57726608,0.00748743,0.09763372,0.64053609,0.00953234,0.08589252,0.57769365,0.00737753,1
0.10515538,0.70649412,0.01105765,0.09669322,0.65831415,0.00934958,0.10992848,0.72314005,0.01208427,0.09609377,0.65029353,0.00923401,1
0.09781585,0.64102967,0.00956794,0.08955249,0.58738459,0.00801965,0.10161063,0.65583358,0.01032472,0.08897746,0.58721736,0.00791699,1
0.09426794,0.64723435,0.00888645,0.08613841,0.59351307,0.00741983,0.09823865,0.66275455,0.00965083,0.08611435,0.5933962,0.00741568,1
